年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2023,暑假,景区目的地,暑期出入境查验人员(7.1-8.29),8241.3,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,官方总量,实际,无,62,水平值,2023-09-06,空,国家移民管理局,国家移民管理局统计,2023-08-31,A,https://www.nia.gov.cn/News/news/content.jsp?id=1728029,乙类乙管后首暑期;日均139.7万;环比+19.88%
2023,暑假,景区目的地,黄山市前7个月接待游客,4415.69,万人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,待核,实际,无,62,水平值,2023-09-06,空,黄山市文化和旅游局,暑期旅游热黄山还缺点啥,2023-09-06,A,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,超2019同期
2023,暑假,景区目的地,黄山市前7个月旅游总收入,404.11,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,待核,实际,无,62,水平值,2023-09-06,空,黄山市文化和旅游局,暑期旅游热黄山还缺点啥,2023-09-06,A,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,
2023,暑假,景区目的地,黄山等3家5A景区8.1-26接待游客,121.30,万人,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,待核,实际,无,62,水平值,2023-09-06,空,黄山市文化和旅游局,暑期旅游热黄山还缺点啥,2023-09-06,A,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,
2023,暑假,景区目的地,黄山等3家5A景区8.1-26门票收入,9985.77,万元,万元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,待核,实际,无,62,水平值,2023-09-06,空,黄山市文化和旅游局,暑期旅游热黄山还缺点啥,2023-09-06,A,https://www.xxrb.com.cn/html/2023/lvyou_0906/33094.html,
2023,暑假,景区目的地,黄山风景区暑期(7-8月)进山游客,108,万人,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,待核,实际,无,62,水平值,2023-09-06,空,黄山风景区管委会,黄山风景区暑期接待量再创新高,2023-08,A,https://m.thepaper.cn/newsDetail_forward_24492419,创历史同期新高
2023,暑假,景区目的地,黄山风景区暑期游客同比增幅,82.9,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,待核,实际,同比,62,增长率,2023-09-06,空,黄山风景区管委会,黄山风景区暑期接待量再创新高,2023-08,A,https://m.thepaper.cn/newsDetail_forward_24492419,
2023,暑假,景区目的地,黄山风景区暑期游客较2019增幅,32.4,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,客流人次,待核,实际,较2019,62,增长率,2023-09-06,空,黄山风景区管委会,黄山风景区暑期接待量再创新高,2023-08,A,https://m.thepaper.cn/newsDetail_forward_24492419,
2023,暑假,消费宏观,8月社会消费品零售总额,37933,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,商务部社零,官方总量,实际,无,62,水平值,2023-09-06,空,国家统计局,2023年8月份社会消费品零售总额,2023-09-15,A,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202309/t20230915_1942857.html,"同比+4.6%;单月非假期总量,不可与旅游总花费相加"
2023,暑假,消费宏观,8月餐饮收入,4212,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,商务部社零,官方总量,实际,无,62,水平值,2023-09-06,空,国家统计局,2023年8月份社会消费品零售总额,2023-09-15,A,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202309/t20230915_1942857.html,同比+12.4%
2023,暑假,消费宏观,上半年社会消费品零售总额同比增幅,8.2,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,商务部社零,官方总量,实际,同比,62,增长率,2023-09-06,空,国家发展改革委,国务院政策例行吹风会,2023-07-31,A,https://big5.cctv.com/gate/big5/news.cctv.com/2023/08/01/ARTIhQK0tXZYnj9eUmouLar8230801.shtml,
2023,暑假,消费宏观,国务院恢复和扩大消费措施条数,20,条,条,2023-07-01 至 2023-08-31,7-8月合计,62天口径,商务部社零,待核,实际,无,62,水平值,2023-09-06,空,国务院办公厅/发改委,《关于恢复和扩大消费的措施》,2023-07-31,A,https://www.news.cn/politics/2023-07/31/c_1129778224.htm,六方面20条
2023,暑假,消费宏观,文旅部2023文旅消费促进活动覆盖期,3-12月,月,月,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,定性,2023-09-06,空,文化和旅游部,《关于组织开展2023年文化和旅游消费促进活动的通知》,2023-04-13,A,https://dzswgf.mofcom.gov.cn/news/43/2023/4/1681367395569.html,"含""暑期""""中国之夜""""消费季"""
2023,暑假,消费宏观,暑期档国产影片票房,180.57,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,官方总量,实际,无,62,水平值,2023-09-06,空,国家电影局,国家电影局统计数据,2023-09-01,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202309/t20230901_767205.html,市场占比87.58%
2023,暑假,消费宏观,暑期档国产影片票房占比,87.58,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,官方总量,实际,无,62,水平值,2023-09-06,空,国家电影局,国家电影局统计数据,2023-09-01,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202309/t20230901_767205.html,
2023,暑假,消费宏观,暑期档电影总票房(国家电影局最终),206.19,亿元,亿元,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,官方总量,实际,无,62,水平值,2023-09-06,空,国家电影局,国家电影局统计数据,2023-09-01,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202309/t20230901_767205.html,"6.1-8.31口径;官方最终值,刷新影史同期纪录"
2023,暑假,消费宏观,暑期档电影观影人次,5.05,亿人次,人次,2023-07-01 至 2023-08-31,7-8月合计,62天口径,演出票房,官方总量,实际,无,62,水平值,2023-09-06,空,国家电影局,国家电影局统计数据,2023-09-01,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202309/t20230901_767205.html,
2023,暑假,消费宏观,第三批出境团队游新增目的地,78,个国家,个,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,官方总量,实际,无,62,水平值,2023-09-06,空,文化和旅游部,关于恢复第三批出境团队游通知(解读),2023-08-10,A,https://zwgk.mct.gov.cn/zfxxgkml/zcfg/zcjd/202308/t20230829_946879.html,目的地增至138个
2023,暑假,游客画像,同程亲子搜索热度环比涨幅,162,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,环比,62,增长率,2023-09-06,空,同程旅行,暑期旅游趋势报告,2023-07-13,C,http://finance.chinadevelopment.com.cn/hy/wy/2023/07/1848750.shtml,该平台自身口径
2023,暑假,游客画像,同程研学搜索热度环比涨幅(7月),203,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,环比,62,增长率,2023-09-06,空,同程旅行,暑期旅游趋势报告,2023-07-13,C,http://finance.chinadevelopment.com.cn/hy/wy/2023/07/1848750.shtml,该平台自身口径
2023,暑假,游客画像,同程避暑目的地热度环比涨幅,200,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,环比,62,增长率,2023-09-06,空,同程旅行,暑期旅游趋势报告,2023-07-13,C,http://finance.chinadevelopment.com.cn/hy/wy/2023/07/1848750.shtml,该平台自身口径
2023,暑假,游客画像,同程音乐节搜索热度环比涨幅(6-7月),460,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,搜索量,平台自披露,实际,环比,62,增长率,2023-09-06,空,同程旅行,暑期旅游趋势报告,2023-07-13,C,http://finance.chinadevelopment.com.cn/hy/wy/2023/07/1848750.shtml,该平台自身口径
2023,暑假,游客画像,暑期机票订单中亲子游较2019增幅,56,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,旅游总花费,平台自披露,实际,较2019,62,增长率,2023-09-06,空,携程,《2023年暑期出游市场报告》,2023-08-30,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-08/30/content_109762579.shtml,该平台自身口径
2023,暑假,酒店住宿,一线市场北京暑期RevPAR涨幅,51,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,待核,实际,无,62,水平值,2023-09-06,空,STR/新浪研究院,社会服务行业研究,2023-09,C,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/748867315127/index.phtml,
2023,暑假,酒店住宿,北京暑期整体入住率(STR截至8.19),83,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,待核,实际,无,62,水平值,2023-09-06,空,STR/新浪研究院,社会服务行业研究,2023-09,C,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/748867315127/index.phtml,一线市场样本
2023,暑假,酒店住宿,北京暑期酒店均价较2019增幅,51,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,平台自披露,实际,较2019,62,增长率,2023-09-06,空,携程,北京商报/携程数据,2023-07-09,C,https://www.toutiao.com/article/7266982163156189753/,该平台自身口径
2023,暑假,酒店住宿,华住中国Q2 RevPAR,250,元,元/间夜,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,待核,实际,无,62,水平值,2023-09-06,空,华住集团,2023年半年报,2023-09,C,https://ep.ycwb.com/epaper/ycwb/html/2023-09/06/content_9_598282.htm,"Q2季度口径,非仅暑期"
2023,暑假,酒店住宿,华住中国Q2 RevPAR同比增幅,77.3,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,待核,实际,同比,62,增长率,2023-09-06,空,华住集团,2023年半年报,2023-09,C,https://ep.ycwb.com/epaper/ycwb/html/2023-09/06/content_9_598282.htm,
2023,暑假,酒店住宿,华住中国Q2入住率,81.8,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,酒店RevPAR,待核,实际,无,62,水平值,2023-09-06,空,华住集团,2023年半年报,2023-09,C,https://ep.ycwb.com/epaper/ycwb/html/2023-09/06/content_9_598282.htm,同比+17.2个百分点
2023,暑假,酒店住宿,美团亲子游酒店预订较2019增幅,150,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,较2019,62,增长率,2023-09-06,空,美团,中国政府网/美团文旅研究院,2023-09,C,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,该平台自身口径
2023,暑假,酒店住宿,美团儿童餐团购订单同比增幅,400,%,百分比,2023-07-01 至 2023-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2023-09-06,空,美团,中国政府网/美团文旅研究院,2023-09,C,https://big5.www.gov.cn/gate/big5/www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,该平台自身口径
2023,十一,交通,全国跨区域人员流动量(8天),22.04,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部跨区域口径,交通运输-人员流动,官方总量,实际,无,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,含营业性客运+高速/国省道非营业性小客车；与营业性客运4.58亿分列不可相加
2023,十一,交通,全国高速公路流量,4.83,亿辆次,全国总量,2023-09-29至2023-10-06,8天,交通运输部口径,交通运输-人员流动,官方总量,实际,无,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均6043万辆次；单日最高流量创新高
2023,十一,交通,公路发送旅客,2.9,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均3623.2万；较2022+28.1%
2023,十一,交通,国铁集团铁路发送旅客(12天黄金周运输9.27-10.8),1.95,亿人次,全国总量,2023-09-27至2023-10-08,12天,国铁集团12天运输口径,交通运输-客运,官方总量,实际,无,12,水平值,2023-10-20,口径差异,国铁集团,铁路国庆黄金周运输圆满收官,2023-10-12,A,http://www.china-railway.com.cn/xwzx/ywsl/202310/t20231012_130790.html,12天窗口(9.27-10.8)与8天窗口1.41亿口径不同，分列不可相加；9.29单日2009.8万创历史新高
2023,十一,交通,民航发送旅客(8天),1708.5,万人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部/民航局口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部/民航局,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均213.6万；较2022+195.0%
2023,十一,交通,民航较2019国庆日均增长,12.6,%,%增长,2023-09-29至2023-10-06,8天,民航局口径,交通运输-客运,官方总量,实际,较2019,8,水平值,2023-10-20,,民航局,假日消费火爆/中新经纬,2023-10-08,A,https://www.jwview.com/jingwei/10-08/560969.shtml,较2022+194.9%
2023,十一,交通,水路发送旅客,1018.1,万人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均127.3万；较2022+106.1%
2023,十一,交通,营业性旅客运输总量,4.58,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均5727.7万；较2022+57.1%
2023,十一,交通,铁路9月29日单日发送旅客(历史新高),2009.8,万人次,全国总量,2023-09-29,单日,国铁集团口径,交通运输-客运,官方总量,实际,无,8,水平值,2023-10-20,,国铁集团,铁路国庆黄金周运输圆满收官,2023-10-12,A,http://www.china-railway.com.cn/xwzx/ywsl/202310/t20231012_130790.html,历史上首次突破2000万人次
2023,十一,交通,铁路发送旅客(8天交通运输部口径),1.41,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均1763.6万；较2022+158%；与国铁12天1.95亿口径不同，分列
2023,十一,平台,同程博物馆旅游热度环比,400,%,%增长,2023-09-29至2023-10-06,8天,同程平台口径,平台订单,平台自披露,实际,环比,8,水平值,2023-10-20,,同程旅行,中国网旅游,2023-10-07,C,https://travel.china.com.cn/txt/2023-10/07/content_116728198.shtml,环比+4倍；平台自身口径
2023,十一,平台,携程出境游订单同比增长,800,%,%增长,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,携程,中秋国庆旅游总结报告,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,超8倍；平台自身口径
2023,十一,平台,携程国内旅游订单同比增长,近200,%,%增长,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,携程,中秋国庆旅游总结报告,2023-10-06,C,https://www.ourjiangsu.com/a/20231007/1696684029926.shtml,近2倍；平台自身口径非全市场
2023,十一,平台,携程跨省游订单占比/同比增长,51/200,%/%,复合,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,复合值,2023-10-20,,携程,21世纪经济报道,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,占比51%；同比+2倍多；平台自身口径
2023,十一,平台,飞猪出境游产品预订量同比增长,2000,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,飞猪,国庆节假期出游风向标,2023-09-13,C,https://jingji.cctv.cn/2023/09/27/ARTIgoVDGX50S1NM0TeKRJMb230927.shtml,超20倍；平台自身口径
2023,十一,平台,飞猪国内游产品预订量同比增长,近600,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,飞猪,国庆节假期出游风向标,2023-09-13,C,https://jingji.cctv.cn/2023/09/27/ARTIgoVDGX50S1NM0TeKRJMb230927.shtml,近6倍；平台自身口径
2023,十一,平台,飞猪国内租车预订量较2019,460,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,较2019,8,水平值,2023-10-20,,飞猪,21世纪经济报道,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,超4.6倍；平台自身口径
